Lead Gene name	Lead Protein ID	Lead Protein name	Mol. weight [kDa]	Sequence length (AA)	Total MS/MS Count	Organellar profiles in how many maps?	Compartment Prediction	Prediction Confidence	Prediction Score	Sub compart-ment Prediction	Cytosolic Pool	Non-cytosolic pool1 	Global classifier2	Estimated Copy number per cell	Copy number Abundance Percentile	Median cellular con-centration [nM]	 Contribution to cell protein mass [ppm]
MED31	Q9Y3C7	Mediator of RNA polymerase II transcription subunit 31	15.8	131	131	1	Large Protein Complex	Medium	5.2		2%	98%	Mostly Nuclear	127,968	57.0	79.2	6.3
MED4	Q9NPJ6	Mediator of RNA polymerase II transcription subunit 4	29.7	270	257	2	Large Protein Complex	Medium	6.9		21%	79%	Nuclear and Cytosolic	169,165	61.6	104.6	15.6
MED8	Q96G25-2	Mediator of RNA polymerase II transcription subunit 8	32.8	301	165	1	Large Protein Complex	Medium	4.1		7%	93%	Broad distribution	169,429	61.6	104.8	17.3
METTL3	Q86U44	N6-adenosine-methyltransferase 70 kDa subunit	64.5	580	314	5	Large Protein Complex	Medium	8.4		85%	15%	Broad distribution	161,158	60.7	99.7	32.3
MICALL1	Q8N3F8	MICAL-like protein 1	93.4	863	496	6	Large Protein Complex	Medium	9.5		65%	35%	Organellar and Cytosolic	38,544	37.5	23.8	11.2
MIF	P14174	Macrophage migration inhibitory factor	12.5	115	739	6	Large Protein Complex	Medium	14.6		92%	8%	Mostly Cytosolic	22,496,664	99.5	13916.8	872.6
MINK1	Q8N4C8	Misshapen-like kinase 1	149.8	1332	214	6	Large Protein Complex	Medium	13.6		11%	89%	Mostly Organellar	11,075	20.1	6.9	5.2
MKRN1	Q9UHC7	E3 ubiquitin-protein ligase makorin-1	53.3	482	264	6	Large Protein Complex	Medium	8.5		31%	69%	Organellar and Cytosolic	35,800	36.2	22.1	5.9
MLF2	Q15773	Myeloid leukemia factor 2	28.1	248	143	2	Large Protein Complex	Medium	12.9		69%	31%	Nuclear and Cytosolic	158,399	60.5	98.0	13.9
MOB4	Q9Y3A3	MOB-like protein phocein	26.0	225	499	6	Large Protein Complex	Medium	9.2		58%	42%	Organellar and Cytosolic	406,359	75.0	251.4	32.9
MORC2	Q9Y6X9	MORC family CW-type zinc finger protein 2	117.8	1032	401	2	Large Protein Complex	Medium	4.1		0%	100%	Mostly Nuclear	118,650	56.1	73.4	43.5
MRE11A	P49959	Double-strand break repair protein MRE11A	80.6	708	845	6	Large Protein Complex	Medium	9.2		11%	89%	Mostly Nuclear	505,712	77.9	312.8	126.7
MRGBP	Q9NV56	MRG/MORF4L-binding protein	22.4	204	146	2	Large Protein Complex	Medium	5.8		6%	94%	Mostly Nuclear	157,866	60.4	97.7	11.0
MTMR9	Q96QG7	Myotubularin-related protein 9	63.5	549	384	6	Large Protein Complex	Medium	9.9		48%	52%	Organellar and Cytosolic	35,403	36.0	21.9	7.0
MVK	Q03426	Mevalonate kinase	42.5	396	244	4	Large Protein Complex	Medium	12.7		85%	15%	Broad distribution	203,128	64.3	125.7	26.8
NCAPH2	Q6IBW4	Condensin-2 complex subunit H2	68.2	605	304	3	Large Protein Complex	Medium	6.7		4%	96%	Mostly Nuclear	79,441	49.2	49.1	16.8
NCKAP5L	Q9HCH0	Nck-associated protein 5-like	139.0	1330	175	3	Large Protein Complex	Medium	14.2		10%	90%	Mostly Organellar	4,123	10.0	2.6	1.8
NDC80	O14777	Kinetochore protein NDC80 homolog	73.9	642	995	6	Large Protein Complex	Medium	13.6		45%	55%	Organellar and Cytosolic	198,389	63.9	122.7	45.6
NES	P48681	Nestin	177.4	1621	800	6	Large Protein Complex	Medium	11.9		91%	9%	Mostly Cytosolic	206,902	64.7	128.0	114.1
NFKB2	Q00653-4	Nuclear factor NF-kappa-B p100 subunit	96.7	899	949	6	Large Protein Complex	Medium	12.2		72%	28%	Nuclear and Cytosolic	419,694	75.4	259.6	126.1
NIPBL	Q6KC79	Nipped-B-like protein	316.1	2804	913	4	Large Protein Complex	Medium	6.1		4%	96%	Mostly Nuclear	152,360	59.8	94.3	149.7
NKRF	O15226	NF-kappa-B-repressing factor	77.7	690	1459	6	Large Protein Complex	Medium	7.1		3%	97%	Mostly Nuclear	668,972	81.4	413.8	161.5
NME7	Q9Y5B8	Nucleoside diphosphate kinase 7	42.5	376	249	3	Large Protein Complex	Medium	9.1		71%	29%	Broad distribution	130,389	57.4	80.7	17.2
NMRAL1	Q9HBL8	NmrA-like family domain-containing protein 1	33.3	299	170	2	Large Protein Complex	Medium	4.6		97%	3%	Mostly Cytosolic	372,033	73.8	230.1	38.6
NNMT	P40261	Nicotinamide N-methyltransferase	29.6	264	388	6	Large Protein Complex	Medium	5.1		95%	5%	Mostly Cytosolic	1,644,169	90.1	1017.1	151.2
NOP2	P46087	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	89.3	812	1860	6	Large Protein Complex	Medium	15.4		2%	98%	Mostly Nuclear	2,109,687	91.9	1305.1	585.7
NPLOC4	Q8TAT6	Nuclear protein localization protein 4 homolog	68.1	608	1314	6	Large Protein Complex	Medium	7.7		75%	25%	Broad distribution	547,297	78.9	338.6	115.9
NR3C1	P04150	Glucocorticoid receptor	85.7	777	374	5	Large Protein Complex	Medium	5		96%	4%	Mostly Cytosolic	202,860	64.3	125.5	54.0
NRBF2	Q96F24	Nuclear receptor-binding factor 2	32.4	287	79	1	Large Protein Complex	Medium	5		81%	19%	Organellar and Cytosolic	36,357	36.5	22.5	3.7
NRD1	O43847	Nardilysin	131.6	1150	694	6	Large Protein Complex	Medium	13.7		97%	3%	Mostly Cytosolic	528,981	78.5	327.2	216.4
NRDE2	Q9H7Z3	Protein NRDE2 homolog	132.7	1164	109	1	Large Protein Complex	Medium	6.1		41%	59%	Nuclear and Cytosolic	13,659	22.5	8.4	5.6
NSFL1C	Q9UNZ2	NSFL1 cofactor p47	40.6	370	587	6	Large Protein Complex	Medium	9.5		96%	4%	Mostly Cytosolic	1,310,450	88.2	810.7	165.3
NTHL1	P78549	Endonuclease III-like protein 1	34.4	312	184	3	Large Protein Complex	Medium	5.6		0%	100%	Mostly Nuclear	203,791	64.4	126.1	21.8
NTMT1	Q9BV86	N-terminal Xaa-Pro-Lys N-methyltransferase 1	25.4	223	188	4	Large Protein Complex	Medium	9.1		92%	8%	Mostly Cytosolic	504,544	77.8	312.1	39.8
NUCKS1	Q9H1E3	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	27.3	243	269	5	Large Protein Complex	Medium	5		86%	14%	Mostly Cytosolic	1,231,290	87.6	761.7	104.5
NUDC	Q9Y266	Nuclear migration protein nudC	38.2	331	1578	6	Large Protein Complex	Medium	9.9		93%	7%	Mostly Cytosolic	5,883,035	96.7	3639.4	699.4
NUDT1	P36639	7,8-dihydro-8-oxoguanine triphosphatase	22.5	197	94	1	Large Protein Complex	Medium	5.5		96%	4%	Mostly Cytosolic	430,268	75.7	266.2	30.1
NUF2	Q9BZD4	Kinetochore protein Nuf2	54.3	464	609	6	Large Protein Complex	Medium	10.7		42%	58%	Organellar and Cytosolic	166,092	61.2	102.7	28.0
NUP50	Q9UKX7	Nuclear pore complex protein Nup50	50.1	468	830	6	Large Protein Complex	Medium	9.8		55%	45%	Nuclear and Cytosolic	1,165,562	87.1	721.0	181.7
ODF2	Q5BJF6	Outer dense fiber protein 2	95.4	829	74	2	Large Protein Complex	Medium	9		0%	100%	Mostly Organellar	3,419	8.4	2.1	1.0
OGFOD1	Q8N543	Prolyl 3-hydroxylase OGFOD1	63.2	542	454	6	Large Protein Complex	Medium	6.6		98%	2%	Mostly Cytosolic	404,618	75.0	250.3	79.6
OLA1	Q9NTK5	Obg-like ATPase 1	44.7	396	785	6	Large Protein Complex	Medium	14.9		97%	3%	Mostly Cytosolic	2,710,128	93.4	1676.5	377.0
ORC5	O43913	Origin recognition complex subunit 5	50.3	435	250	4	Large Protein Complex	Medium	8.4		4%	96%	Mostly Nuclear	205,950	64.6	127.4	32.2
OSTF1	Q92882	Osteoclast-stimulating factor 1	23.8	214	127	1	Large Protein Complex	Medium	4		97%	3%	Mostly Cytosolic	654,593	81.1	404.9	48.4
OTUD7B	Q6GQQ9	OTU domain-containing protein 7B	92.5	843	196	3	Large Protein Complex	Medium	13.4		87%	13%	Mostly Cytosolic	43,383	39.2	26.8	12.5
PABPN1	Q86U42	Polyadenylate-binding protein 2	32.7	306	747	6	Large Protein Complex	Medium	12.9		10%	90%	Broad distribution	1,305,747	88.2	807.8	132.9
PAF1	Q8N7H5	RNA polymerase II-associated factor 1 homolog	60.0	531	589	5	Large Protein Complex	Medium	14.5		53%	47%	Nuclear and Cytosolic	671,246	81.4	415.2	125.2
PAFAH1B1	P43034	Platelet-activating factor acetylhydrolase IB subunit alpha	46.6	410	1406	6	Large Protein Complex	Medium	6.9		88%	12%	Mostly Cytosolic	1,823,135	90.8	1127.8	264.3
PAIP2	Q9BPZ3	Polyadenylate-binding protein-interacting protein 2	15.0	127	114	3	Large Protein Complex	Medium	9.5		78%	22%	Broad distribution	287,171	69.9	177.6	13.4
PAK2	Q13177	Serine/threonine-protein kinase PAK 2	58.0	524	1221	6	Large Protein Complex	Medium	11.9		91%	9%	Mostly Cytosolic	1,256,379	87.8	777.2	226.7
PAPD7	Q5XG87	Non-canonical poly(A) RNA polymerase PAPD7	82.4	772	77	2	Large Protein Complex	Medium	12		9%	91%	Mostly Organellar	2,321	5.7	1.4	0.6
PAPOLG	Q9BWT3	Poly(A) polymerase gamma	82.8	736	228	2	Large Protein Complex	Medium	5.5		2%	98%	Broad distribution	28,626	33.0	17.7	7.4
PARP1	P09874	Poly [ADP-ribose] polymerase 1	113.1	1014	4711	6	Large Protein Complex	Medium	8.8		1%	99%	Mostly Nuclear	4,440,454	95.8	2747.0	1561.0
PARVB	Q9HBI1	Beta-parvin	41.7	364	87	2	Large Protein Complex	Medium	7.4		41%	59%	Broad distribution	33,947	35.5	21.0	4.4
PATZ1	Q9HBE1	POZ-, AT hook-, and zinc finger-containing protein 1	74.1	687	161	3	Large Protein Complex	Medium	5.3		2%	98%	Mostly Nuclear	89,630	51.4	55.4	20.6
PCNP	Q8WW12	PEST proteolytic signal-containing nuclear protein	18.9	178	711	6	Large Protein Complex	Medium	7.4		76%	24%	Nuclear and Cytosolic	2,879,126	93.7	1781.1	169.4
PDCD2	Q16342	Programmed cell death protein 2	38.6	344	174	3	Large Protein Complex	Medium	8.1		85%	15%	Mostly Cytosolic	65,282	45.8	40.4	7.8
PDPK1	O15530	3-phosphoinositide-dependent protein kinase 1	63.2	556	321	6	Large Protein Complex	Medium	5.4		55%	45%	Organellar and Cytosolic	68,127	46.5	42.1	13.4
PDRG1	Q9NUG6	p53 and DNA damage-regulated protein 1	15.5	133	202	4	Large Protein Complex	Medium	8.7		51%	49%	Organellar and Cytosolic	166,981	61.3	103.3	8.1
PDXDC1	Q6P996-4	Pyridoxal-dependent decarboxylase domain-containing protein 1	83.6	760	568	6	Large Protein Complex	Medium	4.9		96%	4%	Mostly Cytosolic	450,397	76.3	278.6	117.0
PES1	O00541	Pescadillo homolog	68.0	588	1274	6	Large Protein Complex	Medium	14.3		13%	87%	Broad distribution	1,477,798	89.2	914.2	312.4
PFN1	P07737	Profilin-1	15.1	140	2914	6	Large Protein Complex	Medium	5.8		91%	9%	Mostly Cytosolic	46,572,621	99.8	28810.7	2179.6
PGD	P52209	6-phosphogluconate dehydrogenase, decarboxylating	53.1	483	1776	6	Large Protein Complex	Medium	5		94%	6%	Mostly Cytosolic	4,559,134	95.9	2820.4	753.2
PIBF1	Q8WXW3	Progesterone-induced-blocking factor 1	89.8	757	263	5	Large Protein Complex	Medium	7.5		48%	52%	Organellar and Cytosolic	18,871	26.7	11.7	5.3
PITPNA	Q00169	Phosphatidylinositol transfer protein alpha isoform	31.8	270	344	6	Large Protein Complex	Medium	6.9		95%	5%	Mostly Cytosolic	963,488	85.4	596.0	95.3
PKM	P14618	Pyruvate kinase PKM	57.9	531	7987	6	Large Protein Complex	Medium	13.7		91%	9%	Mostly Cytosolic	30,808,353	99.6	19058.7	5549.0
PLEC	Q15149-4	Plectin	516.2	4547	93	2	Large Protein Complex	Medium	9.7		48%	52%	Organellar and Cytosolic	3,273	8.1	2.0	5.3
PLEKHA5	Q9HAU0	Pleckstrin homology domain-containing family A member 5	127.5	1116	146	2	Large Protein Complex	Medium	12.1		18%	82%	Organellar and Cytosolic	3,330	8.2	2.1	1.3
PLXNA2	O75051	Plexin-A2	211.1	1894	146	5	Large Protein Complex	Medium	12.7		0%	100%	Mostly Organellar	2,868	7.1	1.8	1.9
PMM2	O15305	Phosphomannomutase 2	28.1	246	486	6	Large Protein Complex	Medium	11.5		94%	6%	Mostly Cytosolic	2,533,115	92.9	1567.0	221.1
PNN	Q9H307	Pinin	81.6	717	2057	6	Large Protein Complex	Medium	8.8		5%	95%	Mostly Nuclear	1,156,630	87.1	715.5	293.5
POLR2L	P62875	DNA-directed RNA polymerases I, II, and III subunit RPABC5	7.6	67	145	2	Large Protein Complex	Medium	7.6		40%	60%	Nuclear and Cytosolic	1,001,852	85.8	619.8	23.8
POLR3A	O14802	DNA-directed RNA polymerase III subunit RPC1	155.6	1390	388	2	Large Protein Complex	Medium	6		88%	12%	Mostly Cytosolic	81,038	49.5	50.1	39.2
POLR3D	P05423	DNA-directed RNA polymerase III subunit RPC4	44.4	398	173	2	Large Protein Complex	Medium	9.3		80%	20%	Broad distribution	95,792	52.4	59.3	13.2
POP4	O95707	Ribonuclease P protein subunit p29	25.4	220	181	1	Large Protein Complex	Medium	4.4		37%	63%	Nuclear and Cytosolic	167,797	61.5	103.8	13.3
PPM1H	Q9ULR3	Protein phosphatase 1H	56.4	514	349	6	Large Protein Complex	Medium	10.7		41%	59%	Organellar and Cytosolic	42,541	38.8	26.3	7.5
PPP1R35	Q8TAP8	Protein phosphatase 1 regulatory subunit 35	28.0	253	120	1	Large Protein Complex	Medium	4.2		55%	45%	Organellar and Cytosolic	20,670	27.9	12.8	1.8
PPP1R9A	Q9ULJ8-5	Neurabin-1	145.2	1296	355	6	Large Protein Complex	Medium	6.8		31%	69%	Broad distribution	50,494	41.5	31.2	22.8
PPP2CA	P67775	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	35.6	309	142	1	Large Protein Complex	Medium	4.2		87%	13%	Mostly Cytosolic	523,878	78.3	324.1	58.0
PRKCD	Q05655	Protein kinase C delta type	77.5	676	195	4	Large Protein Complex	Medium	15.6		96%	4%	Mostly Cytosolic	98,153	52.9	60.7	23.6
PRMT3	O60678	Protein arginine N-methyltransferase 3	59.9	531	267	5	Large Protein Complex	Medium	8.8		97%	3%	Mostly Cytosolic	391,707	74.4	242.3	72.9
PROSER2	Q86WR7	Proline and serine-rich protein 2	45.8	435	576	6	Large Protein Complex	Medium	15		26%	74%	Broad distribution	132,534	57.6	82.0	18.9
PRRC2A	P48634	Protein PRRC2A	228.9	2157	3586	6	Large Protein Complex	Medium	14.7		30%	70%	Organellar and Cytosolic	92,096	51.7	57.0	65.5
PSMD9	O00233	26S proteasome non-ATPase regulatory subunit 9	24.7	223	280	6	Large Protein Complex	Medium	6.9		96%	4%	Mostly Cytosolic	1,279,377	88.0	791.5	98.2
PSME1	Q06323	Proteasome activator complex subunit 1	28.7	249	1419	6	Large Protein Complex	Medium	13.1		93%	7%	Mostly Cytosolic	6,277,099	96.8	3883.1	560.5
PSME2	Q9UL46	Proteasome activator complex subunit 2	27.4	239	678	6	Large Protein Complex	Medium	13		96%	4%	Mostly Cytosolic	2,081,603	91.8	1287.7	177.3
PSME3	P61289-2	Proteasome activator complex subunit 3	30.9	267	698	6	Large Protein Complex	Medium	9.7		93%	7%	Mostly Cytosolic	2,585,051	93.0	1599.2	248.2
PSME4	Q14997	Proteasome activator complex subunit 4	211.3	1843	524	4	Large Protein Complex	Medium	12.1		96%	4%	Mostly Cytosolic	104,859	54.2	64.9	68.9
PSMG1	O95456	Proteasome assembly chaperone 1	32.9	288	374	6	Large Protein Complex	Medium	12.3		91%	9%	Mostly Cytosolic	834,804	84.0	516.4	85.3
PTGES3	Q15185	Prostaglandin E synthase 3	18.7	160	873	6	Large Protein Complex	Medium	12.2		88%	12%	Mostly Cytosolic	11,461,737	98.5	7090.5	666.2
PTGR1	Q14914	Prostaglandin reductase 1	35.9	329	544	6	Large Protein Complex	Medium	4.4		96%	4%	Mostly Cytosolic	1,852,003	91.0	1145.7	206.5
PTPN6	P29350	Tyrosine-protein phosphatase non-receptor type 6	67.6	595	276	6	Large Protein Complex	Medium	12.9		58%	42%	Organellar and Cytosolic	40,677	38.2	25.2	8.5
PUM1	Q14671-2	Pumilio homolog 1	124.4	1162	2575	6	Large Protein Complex	Medium	15		19%	81%	Organellar and Cytosolic	203,872	64.4	126.1	78.9
PUM2	Q8TB72-3	Pumilio homolog 2	114.0	1064	585	6	Large Protein Complex	Medium	10.2		15%	85%	Organellar and Cytosolic	29,352	33.3	18.2	10.4
PURB	Q96QR8	Transcriptional activator protein Pur-beta	33.2	312	347	6	Large Protein Complex	Medium	11		41%	59%	Organellar and Cytosolic	110,621	54.9	68.4	11.4
PWP1	Q13610	Periodic tryptophan protein 1 homolog	55.8	501	427	6	Large Protein Complex	Medium	10.8		65%	35%	Nuclear and Cytosolic	638,081	80.9	394.7	110.7
PYGL	P06737	Glycogen phosphorylase, liver form	97.1	847	825	6	Large Protein Complex	Medium	6.7		96%	4%	Mostly Cytosolic	505,858	77.9	312.9	152.8
R3HDM1	Q15032-2	R3H domain-containing protein 1	107.7	971	280	5	Large Protein Complex	Medium	9.1		10%	90%	Mostly Organellar	9,173	17.8	5.7	3.1
RAD21	O60216	Double-strand-break repair protein rad21 homolog	71.7	631	752	6	Large Protein Complex	Medium	5.4		1%	99%	Mostly Nuclear	501,337	77.7	310.1	111.7
RAD50	Q92878	DNA repair protein RAD50	153.9	1312	1422	6	Large Protein Complex	Medium	13.6		8%	92%	Mostly Nuclear	629,837	80.8	389.6	301.3
RAN	P62826	GTP-binding nuclear protein Ran	24.4	216	1500	6	Large Protein Complex	Medium	14.1		73%	27%	Nuclear and Cytosolic	19,661,823	99.3	12163.2	1492.9
RANBP1	P43487	Ran-specific GTPase-activating protein	23.3	201	936	6	Large Protein Complex	Medium	12.4		89%	11%	Mostly Cytosolic	7,196,572	97.2	4451.9	521.5
RBBP4	Q09028	Histone-binding protein RBBP4	47.7	425	547	6	Large Protein Complex	Medium	5.2		38%	62%	Nuclear and Cytosolic	1,285,129	88.0	795.0	190.4
RBBP6	Q7Z6E9	E3 ubiquitin-protein ligase RBBP6	201.6	1792	895	6	Large Protein Complex	Medium	15.6		2%	98%	Mostly Nuclear	107,673	54.6	66.6	67.5
RBBP7	Q16576	Histone-binding protein RBBP7	47.8	425	176	6	Large Protein Complex	Medium	9.7		63%	37%	Nuclear and Cytosolic	702,123	82.1	434.3	104.4
RBBP7	Q16576-2	Histone-binding protein RBBP7	52.3	469	1883	6	Large Protein Complex	Medium	9.1		53%	47%	Nuclear and Cytosolic	6,459,071	96.8	3995.7	1050.5
RBM23	Q86U06-5	Probable RNA-binding protein 23	44.9	417	126	2	Large Protein Complex	Medium	5.3		38%	62%	Organellar and Cytosolic	17,510	25.7	10.8	2.4
RBM34	P42696	RNA-binding protein 34	48.6	430	423	4	Large Protein Complex	Medium	9.9		0%	100%	Mostly Nuclear	535,277	78.6	331.1	80.8
RBPMS2	Q6ZRY4	RNA-binding protein with multiple splicing 2	22.5	209	115	2	Large Protein Complex	Medium	9.9		18%	82%	Broad distribution	46,888	40.4	29.0	3.3
RC3H1	Q5TC82	Roquin-1	125.7	1133	282	4	Large Protein Complex	Medium	9.2		14%	86%	Mostly Organellar	8,781	17.3	5.4	3.4
RECQL5	O94762	ATP-dependent DNA helicase Q5	108.9	991	341	3	Large Protein Complex	Medium	10.3		16%	84%	Broad distribution	125,740	56.8	77.8	42.6
RNF114	Q9Y508	E3 ubiquitin-protein ligase RNF114	25.7	228	439	6	Large Protein Complex	Medium	13.7		90%	10%	Mostly Cytosolic	1,175,872	87.3	727.4	93.9
RNH1	P13489	Ribonuclease inhibitor	50.0	461	1000	6	Large Protein Complex	Medium	11.7		95%	5%	Mostly Cytosolic	2,708,538	93.3	1675.6	420.8
RPL26L1	Q9UNX3	60S ribosomal protein L26-like 1	17.3	145	162	4	Large Protein Complex	Medium	14		21%	79%	Organellar and Cytosolic	171,018	61.7	105.8	9.2
RPL36AL	Q969Q0	60S ribosomal protein L36a-like	12.5	106	127	4	Large Protein Complex	Medium	12.2		14%	86%	Mostly Organellar	763,030	83.1	472.0	29.6
RPL7L1	Q6DKI1	60S ribosomal protein L7-like 1	28.7	246	459	6	Large Protein Complex	Medium	5.7		4%	96%	Mostly Nuclear	1,509,466	89.3	933.8	134.5
RPP25	Q9BUL9	Ribonuclease P protein subunit p25	20.6	199	364	6	Large Protein Complex	Medium	7		34%	66%	Broad distribution	217,126	65.4	134.3	13.9
RPRD2	Q5VT52-3	Regulation of nuclear pre-mRNA domain-containing protein 2	152.9	1435	582	3	Large Protein Complex	Medium	6.9		3%	97%	Mostly Nuclear	179,822	62.4	111.2	85.5
RRM2	P31350	Ribonucleoside-diphosphate reductase subunit M2	44.9	389	393	5	Large Protein Complex	Medium	10.4		95%	5%	Mostly Cytosolic	498,489	77.6	308.4	69.5
RRP1	P56182	Ribosomal RNA processing protein 1 homolog A	52.8	461	863	6	Large Protein Complex	Medium	13.9		3%	97%	Mostly Nuclear	1,189,078	87.4	735.6	195.3
RRP1B	Q14684	Ribosomal RNA processing protein 1 homolog B	84.4	758	1210	6	Large Protein Complex	Medium	5.7		1%	99%	Mostly Nuclear	993,672	85.7	614.7	260.8
RRP8	O43159	Ribosomal RNA-processing protein 8	50.7	456	472	5	Large Protein Complex	Medium	12.3		1%	99%	Mostly Nuclear	539,838	78.7	334.0	85.1
RSBN1L	Q6PCB5	Round spermatid basic protein 1-like protein	94.9	846	226	2	Large Protein Complex	Medium	6.2		0%	100%	Mostly Nuclear	73,355	47.8	45.4	21.6
RSF1	Q96T23	Remodeling and spacing factor 1	163.8	1441	519	2	Large Protein Complex	Medium	6.1		12%	88%	Mostly Nuclear	165,094	61.1	102.1	84.1
RWDD2B	P57060	RWD domain-containing protein 2B	36.3	319	87	2	Large Protein Complex	Medium	8.1		72%	28%	Organellar and Cytosolic	21,620	28.7	13.4	2.4
SAC3D1	A6NKF1	SAC3 domain-containing protein 1	43.6	404	343	6	Large Protein Complex	Medium	4.7		44%	56%	Organellar and Cytosolic	65,725	45.8	40.7	8.9
SAFB	Q15424	Scaffold attachment factor B1	102.6	915	2357	6	Large Protein Complex	Medium	12.4		3%	97%	Mostly Nuclear	1,371,529	88.6	848.5	437.6
SAFB2	Q14151	Scaffold attachment factor B2	107.5	953	686	5	Large Protein Complex	Medium	10.1		1%	99%	Mostly Nuclear	310,440	71.2	192.0	103.7
SAP18	O00422	Histone deacetylase complex subunit SAP18	17.6	153	601	6	Large Protein Complex	Medium	9.5		6%	94%	Mostly Nuclear	3,417,970	94.6	2114.4	186.6
SBDS	Q9Y3A5	Ribosome maturation protein SBDS	28.8	250	1792	6	Large Protein Complex	Medium	4.4		55%	45%	Organellar and Cytosolic	2,707,520	93.3	1674.9	242.1
SCAF1	Q9H7N4	Splicing factor, arginine/serine-rich 19	139.3	1312	330	3	Large Protein Complex	Medium	11.7		2%	98%	Mostly Nuclear	60,686	44.5	37.5	26.3
SCAF11	Q99590	Protein SCAF11	164.7	1463	918	6	Large Protein Complex	Medium	11.9		1%	99%	Mostly Nuclear	251,084	67.8	155.3	128.5
SCAF8	Q9UPN6	Protein SCAF8	140.5	1271	367	3	Large Protein Complex	Medium	15.9		14%	86%	Broad distribution	88,408	51.1	54.7	38.6
SENP6	Q9GZR1	Sentrin-specific protease 6	126.1	1112	200	2	Large Protein Complex	Medium	12.7		18%	82%	Nuclear and Cytosolic	18,077	26.2	11.2	7.1
SEPHS1	P49903	Selenide, water dikinase 1	42.9	392	404	6	Large Protein Complex	Medium	9.2		53%	47%	Nuclear and Cytosolic	500,911	77.7	309.9	66.8
SEPT8	Q92599	Septin-8	55.8	483	710	6	Large Protein Complex	Medium	8.9		3%	97%	Mostly Organellar	95,421	52.3	59.0	16.5
SERPINB5	P36952	Serpin B5	42.1	375	713	6	Large Protein Complex	Medium	15.9		96%	4%	Mostly Cytosolic	1,661,110	90.2	1027.6	217.4
SET	Q01105-2	Protein SET	32.1	277	303	6	Large Protein Complex	Medium	8.4		82%	18%	Broad distribution	1,138,327	86.9	704.2	113.6
SETX	Q7Z333	Probable helicase senataxin	302.9	2677	424	4	Large Protein Complex	Medium	13.1		3%	97%	Broad distribution	21,801	28.9	13.5	20.5
SFN	P31947	14-3-3 protein sigma	27.8	248	1355	6	Large Protein Complex	Medium	5.4		90%	10%	Mostly Cytosolic	9,238,651	97.9	5715.2	797.7
SHKBP1	Q8TBC3	SH3KBP1-binding protein 1	76.3	707	60	2	Large Protein Complex	Medium	6.9		45%	55%	Organellar and Cytosolic	6,175	13.5	3.8	1.5
SKP2	Q13309	S-phase kinase-associated protein 2	47.8	424	126	1	Large Protein Complex	Medium	5		69%	31%	Nuclear and Cytosolic	93,186	51.9	57.6	13.8
SMCHD1	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	226.4	2005	1590	6	Large Protein Complex	Medium	4		0%	100%	Mostly Nuclear	447,683	76.2	276.9	315.1
SMG7	Q92540	Protein SMG7	127.3	1137	401	6	Large Protein Complex	Medium	15.1		35%	65%	Organellar and Cytosolic	16,523	24.9	10.2	6.5
SNAP29	O95721	Synaptosomal-associated protein 29	29.0	258	615	6	Large Protein Complex	Medium	14.9		63%	37%	Organellar and Cytosolic	280,199	69.5	173.3	25.2
SNAP47	Q5SQN1	Synaptosomal-associated protein 47	52.6	464	98	5	Large Protein Complex	Medium	15.2		10%	90%	Mostly Organellar	7,825	15.9	4.8	1.3
SORD	Q00796	Sorbitol dehydrogenase	38.3	357	687	6	Large Protein Complex	Medium	7.8		93%	7%	Mostly Cytosolic	1,395,126	88.7	863.1	166.2
SP1	P08047	Transcription factor Sp1	80.7	785	306	5	Large Protein Complex	Medium	11.6		21%	79%	Nuclear and Cytosolic	112,272	55.2	69.5	28.2
SPAG7	O75391	Sperm-associated antigen 7	26.0	227	279	4	Large Protein Complex	Medium	12.2		85%	15%	Broad distribution	510,422	78.0	315.8	41.3
SPATA5L1	Q9BVQ7	Spermatogenesis-associated protein 5-like protein 1	80.7	753	497	6	Large Protein Complex	Medium	5.6		59%	41%	Organellar and Cytosolic	53,787	42.6	33.3	13.5
SPC25	Q9HBM1	Kinetochore protein Spc25	26.2	224	190	5	Large Protein Complex	Medium	12.1		65%	35%	Broad distribution	192,289	63.4	119.0	15.6
SPECC1L	Q69YQ0	Cytospin-A	124.6	1117	1665	6	Large Protein Complex	Medium	15.9		10%	90%	Mostly Organellar	125,901	56.8	77.9	48.8
SREK1IP1	Q8N9Q2	Protein SREK1IP1	18.2	155	259	5	Large Protein Complex	Medium	7.6		14%	86%	Mostly Organellar	133,309	57.7	82.5	7.5
SRRT	Q9BXP5	Serrate RNA effector molecule homolog	100.7	876	2042	6	Large Protein Complex	Medium	15.9		36%	64%	Nuclear and Cytosolic	1,355,954	88.5	838.8	424.4
SSBP3	Q9BWW4	Single-stranded DNA-binding protein 3	40.4	388	120	2	Large Protein Complex	Medium	6.2		52%	48%	Broad distribution	63,807	45.3	39.5	8.0
STAG2	Q8N3U4-2	Cohesin subunit SA-2	145.8	1268	861	6	Large Protein Complex	Medium	5		2%	98%	Mostly Nuclear	366,805	73.5	226.9	166.2
